title,content,tokens
Page 39,"Kindergarten 2021 Alabama Course of Study: English Language Arts 28 Standar d 10 continued... i.Decode grade-appropriate high frequency words that are spelled using predictable, decodable phoneme-grapheme correspondences. Examples: am, at, get, like, make, that, this, me, she, be Note: The main emphasis of a high-fr equency word lesson should be on regular correspondences and patterns, noting the high-fr equency words with exceptions or oddities and what they are, using specific strategies to help them remember the irregular part of the word. Example: LETRS © heart word strategy Fluency 11.Recognize and name all upper and lower case letters in non-sequential order with accuracy and automaticity . 12.Arrange and name letters of the alphabet in sequential order from a to z , with accuracy and automaticity . Example: Use the alphabet arc to arrange the letters in alphabetical order, then touch and name the letters. Note : This will help students with alphabetical order requir ements in futur e grades and also facilitate learning of positional words like befor e/after , initial/final, reversals, and letter naming in general. 13.With prompting and support, recognize and name digraphs ck , sh, th, ch , wh, ng, and combination qu. 14.Apply previously-taught phoneme-grapheme correspondences to decodable words with accuracy and automaticity , in and out of context. 15.Orally read and reread grade-appropriate decodable texts smoothly , accurately , and expressively , at an appropriate rate to support comprehension. 16.Recognize and read grade-appropriate high frequency words with accuracy and automaticity . Note: As noted in the phonics standar ds, high-fr equency words should be taught with the main emphasis of the lesson being on regular correspondences and patterns within the word. The student should be able to read the word accurately three times in a row on differ ent days to be consider ed accurate enough to add it to a personal word box, word ring, or fluency folder . Avoid teaching high-fr equency words as “sight words” that need to be memorized as a whole word, unless there are no regular correspondences in the word. “Of” is an example of a word with no regular correspondences.",505
Page 40,"Kindergarten 2021 Alabama Course of Study: English Language Arts 29 Vocabulary 17.With guidance and support, orally utilize new academic, content-specific, grade-level vocabulary and relate new words to prior knowledge. 18.Identify new meanings for familiar words and apply them accurately . Example: multiple meaning words such as duck, run, and bat 19.Ask and answer questions about unfamiliar words in discussions and/or text. a.Describe the relationship between words, including relating them to synonyms and antonyms. 20.Name and sort pictures of objects into categories based on common attributes while relating vocabulary to prior knowledge and building background knowledge. Examples: apples, oranges, grapes; hammer , nails, screwdriver 21.Use new and previously-taught vocabulary to produce and expand complete sentences in shared language activities. a.Use previously-taught vocabulary words, including nouns, verbs, and adjectives, in speaking and writing. b.Use new words and phrases acquired through conversations, reading and being read to, and responding to text. Comprehension 22.Use content knowledge built during read-alouds of informational texts by participating in content-specific discussions with peers and/or through drawing or writing. 23.With prompting and support, manipulate words and/or phrases to create simple sentences, including declarative and interrogative, to help build syntactic awareness and comprehension at the sentence level. 24.With prompting and support, identify common types of texts and their features, including literary , informational, fairy tale, and poetry . 25.With prompting and support, identify the topic of texts, using titles, headings, illustrations, and text clues. 26.With prompting and support, describe the relationship between illustrations and the text in which they appear .",365
Page 41,"Kindergarten 2021 Alabama Course of Study: English Language Arts 30 27.Identify and describe the main story elements in a literary text. a.With prompting and support, retell a text orally , including main character(s), setting, and important events in logical order . 28.With prompting and support, use text clues to determine main ideas and make predictions about an ending in a literary text. 29.With prompting and support, identify the main topic and key details in an informational text. 30.With prompting and support, ask and answer questions about key details in literary and informational texts. 31.With prompting and support, self-monitor comprehension of text by pausing to summarize and rereading for clarification, when comprehension is lacking. 32.With prompting and support, compare and contrast two texts. a.Distinguish between literary texts and informational texts. b.Compare and contrast the experiences of characters in a literary text. c.Compare and contrast two informational texts on the same topic. Writing 33.Express ideas orally and connect these ideas through drawing and emer gent writing. 34.Print legibly , using proper pencil grip. a.Print upper and lower case letters using proper approach strokes, letter formation, and line placement. b.With prompting and support, print first and last names using proper letter formation, capitalizing only the first letter of each name. Note: In Kinder garten, students are learning the most basic forms of capitalization. While the standar d only requir es that the first letter of each name be capitalized, some students’ names may include additional capital letters, hyphens, or apostr ophes. In such cases, students should learn to write their own names using proper capitalization and punctuation. Examples: De’Andr e McGill, Kim Mi-Sun, Juan de Jesus c.With prompting and support, use lower case letters in majority of written work, using capitals only when appropriate.",400
Page 42,"Kindergarten 2021 Alabama Course of Study: English Language Arts 31 35.Apply knowledge of grade-appropriate phoneme-grapheme correspondences and spelling rules (or generalizations) to encode words accurately . a.Encode at the phoneme level, using the most common grapheme/spelling(s), for a spoken phoneme (sound). Examples: /b/=b, /m/=m, /k/=k, c, -ck b.With prompting and support, encode vowel-consonant (VC) and consonant-vowel-consonant (CVC) words, while using some knowledge of basic position-based rules for spelling English words. Examples: /k/=k befor e i, e, or y; /k/= c befor e a, o, u, or any consonant; /k/= -ck after an accented short vowel c.With prompting and support, encode grade-appropriate high frequency words that follow regular phoneme-grapheme correspondences. Examples: am, at, can, he, we, be, in, it, came, like d.With prompting and support, encode grade-appropriate high frequency words that follow regular phoneme-grapheme correspondences and patterns in all but one position , pointing out the part of the word that does not follow the regular pattern. Example: In said, /s/ and /d/ are spelled using phoneme-grapheme correspondence, but ai must be learned by heart or memorized. 36.When speaking and writing, follow the rules of standard English grammar , punctuation, capitalization, and grade-appropriate spelling. a.With prompting and support, transcribe spoken words to demonstrate that print represents oral language. b.With prompting and support, compose a simple sentence, including necessary components to create a complete sentence rather than a fragment. c.With prompting and support, identify the role or purpose of a noun and a verb within a sentence and the type of information it conveys. d.With prompting and support, write the correct number of words, with proper spacing, for a spoken phrase or sentence. e.With prompting and support, begin each sentence with a capital letter . f.With prompting and support, capitalize the pronoun I and names of individuals. g.With prompting and support, recognize, name, and correctly use end punctuation. Examples: period, question mark, exclamation mark",517
Page 43,"Kindergarten 2021 Alabama Course of Study: English Language Arts 32 37.Actively participate in shared and independent writing experiences, for varied purposes and audiences, across different genres. a.Actively participate in shared writing experiences to create messages, lists, and labels for a drawing or illustration. b.Actively participate in shared writing experiences to create narratives with the events in chronological order and share feelings about the story , using drawing, dictating, and/or writing. c.Actively participate in shared writing experiences to create opinion pieces about a topic or text, state the opinion, supply a reason for the opinion, and provide a sense of closure, using drawing, dictating, and/or writing. d.Actively participate in shared writing experiences to create explanatory texts or provide factual information about a topic, using drawing, dictating, and/or writing. e.With prompting and support, compose writing for varied purposes and audiences, across different genres. 38.Improve pictorial and written presentations, as needed, by planning, revising, editing, and using suggestions from peers and adults. Examples: Plan by brainstorming; revise to clarify or aid audience’ s compr ehension; edit written presentations to ensur e appropriate spacing between letters and words, correct spelling and punctuation, and legibility as a courtesy to the audience and to show pride in one’s work. 39.Participate in shared research and writing projects to answer a question or describe a topic. a.Include information recalled from personal experiences in research and writing projects. b.Gather information from provided sources for research and writing projects. 40.With guidance and support, use a variety of digital tools to produce and publish writing, working both independently and collaboratively with peers.",363
Page 44,"Grade 1 GRADE 1 Standards in Grade 1 continue the strong focus on Literacy Foundations: oral language, concepts of print, phonological and phonemic awareness, phonics (decoding), fluency , vocabulary , comprehension, and writing (including encoding), with an added level of rigor incorporated in each content subarea. The phonological awareness/phonemic awareness standards progress from early to basic to advanced skills indicative of the Simple View of Reading (Gough and Tunmer) and the Simple View of Writing (Berninger et al.). Students who achieve fluency standards in Grade 1 should be able to monitor , recognize, and self-correct errors as they read orally , promoting comprehension of grade-appropriate texts. Students continue reading and responding to multiple types of texts in various ways, decoding and encoding words, adding literacy knowledge, building and accessing background knowledge, understanding language structures, and using verbal reasoning. The level of specificity in these standards is essential for early learners to develop the phonemic awareness and phonics skills they need to become successful readers and writers. The K-3 Recurring Standards for English Language Arts, shown in the chart below , are an important part of every grade level. Through these standards, students learn and practice active listening, utilize word-analysis skills, build background knowledge and vocabulary skills, learn and practice essential digital skills, and utilize a process to create and modify written work. The recurring standards will be incorporated throughout the grade level. RECURRING STANDARDS FOR K-3 2021 Alabama Course of Study: English Language Arts 33 Students will: R1. Utilize active listening skills during discussion and conversation in pairs, small groups, or whole-class settings, following agreed-upon rules for participation. R2. Use knowledge of phoneme-grapheme correspondences and word analysis skills to decode and encode words accurately . R3. Expand background knowledge and build vocabulary through discussion, reading, and writing. R4. Use digital and electronic tools appropriately , safely , and ethically for research and writing, both individually and collaboratively . R5. Utilize a writing process to plan, draft, revise, edit, and publish writings in various genres.",448
Page 45,"Grade 1 GRADE 1 CONTENT STANDARDS Each content standard completes the stem “ Students will…” 2021 Alabama Course of Study: English Language Arts 34 LITERACY FOUNDA TIONS Oral Language 1.Engage in collaborative discussions about topics and texts with peers and adults in small and large groups, utilizing agreed-upon rules. 2.Actively participate in shared reading experiences and collaborative discussions to build background knowledge and learn how oral reading should sound. Examples: read-alouds, oral dramatic activities 3.Ask and answer questions to seek help, get information, or clarify information to confirm understanding in response to information presented in audible, text, or digital format. 4.Present information orally using complete sentences and appropriate volume. a.Orally describe people, places, things, and events, expressing ideas with relevant details. Concepts of Print 5.Locate a book’ s title, table of contents, glossary , and the names of author(s) and illustrator(s). a.Explain the roles of author(s) and illustrator(s). Phonological Awareness/Phonemic Awareness 6.Demonstrate basic to advanced phonological and phonemic awareness skills in spoken words. a.Count, blend, segment, and delete syllables in spoken words, including polysyllabic words. Examples: par-ti-cu-lar , cer-ti-fi-cate b.Recognize and produce groups of rhyming words and distinguish them from non-rhyming groups of spoken words. c.Produce alliterative words.",330
Page 46,"Grade 1 2021 Alabama Course of Study: English Language Arts 35 Standar d 6 continued... d.Blend and segment phonemes in single-syllable spoken words made up of three to five phonemes, including words with consonant blends. e.Add, delete, and substitute phonemes at the beginning or end of spoken words made up of three to five phonemes, and produce the resulting word. Examples: pan to pant; flight to light; cat to cap f.Distinguish long from short vowel sounds in spoken, single-syllable words. g.Distinguish between commonly-confused vowel sounds and commonly-confused cognate consonant sounds, using knowledge of mouth position, voiced and unvoiced sounds, and manner of articulation. Examples: /f/ and /v/, /p/ and /b/, /t/ and /d/, /k/ and /g/, /m/ and /n/, /ng/ and /n/, /s/ and /z/, unvoiced /th/ and voiced /th/, /ch/ and /sh/, /ĕ/ and /ā/, /ĕ/ and /ă/ Note : This is extremely important as a foundational phonemic awar eness skill for all learners. h.Identify the sound substitution in words with five to six phonemes. Example: strips/straps, squar e/squir e Phonics 7.Apply knowledge of phoneme-grapheme correspondences and word analysis skills to decode and encode words accurately both in isolation and within decodable, grade-appropriate texts. a.Produce the most frequent sound(s) for each letter of the alphabet, including x, q , and the long and short sounds of the vowels. Examples: x= /ks/; q=/kw/; a=/ă/ and /ā/, s= /s/ and /z/ b.Decode and encode regularly-spelled, one-syllable words with closed syllables, open syllables, and vowel-consonant-e syllables, including words with blends in initial and final position. Note : Consonant blends should include st-, sm-, sn-, -st, -ft, -lp, sl, cr, cl, tr, dr, nt, nd, mp, and nk, at a minimum. c.Decode words with digraphs, trigraphs, and combinations, including digraphs ck , sh, th, ch , wh, ph, ng , trigraphs tch and dge, and combination qu. Note: Some programs/experts call wh a combination, others call it a digraph. Use common language across the school/district. d.Decode words with a after w read /ä/ and a before l read /â/. Examples: wash, water , wasp; tall, all, talk, small, fall",621
Page 47,"Grade 1 2021 Alabama Course of Study: English Language Arts 36 Standar d 7 continued... e.With prompting and support, decode words with the hard and soft sounds of c and g, in context and in isolation. Examples: c=/k/ befor e a, o, u, or any consonant and c= /s/ befor e i, e, or y; g=/g/befor e a, o, u, or any consonant and g=/j/ befor e i, e, or y f.Decode words with vowel y in the final position of one and two syllable words, distinguishing the difference between the long /ī/ sound in one-syllable words and the long /ē/ sound in two-syllable words, and words with vowel y in medial position, producing the short /ĭ/ sound for these words. Examples: fly, my; baby , happy; myth, gym g.Decode regularly spelled one-syllable words with vowel-r syllables, including ar, er, ir, or, and ur . h.With prompting and support, decode words with common vowel team syllables, including ai, ay, ee, ea, igh, ie, oa, ou, ow, au, aw, oe, oo, ew, oi, oy, and ue . i.With prompting and support, decode words that follow the -ild, -ost, -old, -olt, and -ind patterns. Examples: mild, host, fold, jolt, kind j.With prompting and support, decode two-syllable words using knowledge of closed syllables, open syllables, vowel-consonant-e syllables, vowel-r syllables, common vowel team syllables, and consonant-le syllables, including compound words that fit multiple syllable types. k.With prompting and support, decode words with silent letter combinations. Examples: kn, wr, mb, gh, gn l.With prompting and support, decode words with common prefixes including un-, dis-, in-, re-, pre-, mis-, non-, and ex-. m.With prompting and support, decode words with common suffixes, including words with dropped e and y -to- i changes for suffix addition. Examples: -s, -ed, -ing, -es, -er, -est, -en, -y, -ly n.Decode contractions with am, is, has , and not . Examples: I’m, he’s, she’s, isn’t, don’t o.Decode grade-appropriate high frequency words that are spelled using predictable, decodable phoneme-grapheme correspondences. Examples: saw, all, made, can, his, walk, let, open, time",606
Page 48,"Grade 1 2021 Alabama Course of Study: English Language Arts 37 Fluency 8.Apply previously-taught phoneme-grapheme correspondences to decodable words with accuracy and automaticity , in and out of context. 9.Read grade-appropriate texts with accuracy and fluency . a.Read and reread grade-appropriate decodable text orally with accuracy and expression at an appropriate rate to support comprehension. b.Recognize and self-correct decoding and other errors in word recognition and reread for clarification. c.Participate in poetry reading, noticing phrasing, rhythm, and rhyme. Example: Pause between stanzas and between lines wher e punctuation indicates. 10.Read high-frequency words commonly found in grade-appropriate text. Note: High-fr equency words should be taught with the main emphasis of the lesson being on regular correspondences and patterns within the word. The student should be able to read the word accurately and independently three times in a row on differ ent days to be consider ed accurate enough to add to a personal word box, word ring, or fluency folder for fluency practice. Avoid teaching high-fr equency words as “sight words” that need to be memorized as a whole word, unless there are no regular correspondences in the word. “Of” is an example of a word with no regular correspondences. Vocabulary 11.Utilize new academic, content-specific, grade-level vocabulary , make connections to previously learned words, and relate new words to background knowledge. a.Make connections to a word’ s structure using knowledge of phonology , morphology , and orthography of the word to aid learning. 12.Ask and answer questions about unfamiliar words and phrases in discussions and/or text. a.Identify possessives and plurals and use them as clues to the meaning of text. Example: Jack’ s coat, mom’ s car; pigs, pig’s, pigs’ b.Identify meaningful parts of words (morphemes) and use them as clues to the meaning of unknown words, including frequently occurring affixes and inflections -s, -es, -ed, -ing, -er, and -est. Examples: Explain that adding suffix -s changes a singular noun to a plural noun and adding suffix - ed changes a verb to past tense.",500
Page 49,"Grade 1 2021 Alabama Course of Study: English Language Arts 38 Standar d 12 continued... c.Describe word relationships and nuances in word meanings, including relating them to their opposites and distinguishing shades of meaning in similar or related words. Examples: look, peek, glance, stare, glare; big, large, gigantic, monstr ous Act out tiptoe, creep, and march to distinguish shades of meaning in words related to walk . Discuss synonyms and antonyms. 13.Use information found within the text to determine the meaning of an unfamiliar or multiple-meaning word or phrase. 14.Sort and categorize groups of words or pictures based on meaning, and label each category . Examples: colors, clothes, animals with wings 15.Identify and explain adjectives as descriptive words and phrases in all forms of texts, including poems. 16.Use grade-appropriate academic vocabulary in speaking and writing. Comprehension 17.Use content knowledge built during read-alouds of informational and literary texts by participating in content-specific discussions with peers and/or through drawing and writing. 18.Manipulate words and/or phrases to create simple sentences, including declarative and interrogative, to help build syntactic awareness and comprehension at the sentence level. 19.Identify common types of texts and their features, including literary , informational, fairy tale, and poetry . 20.Use text features to locate key facts or information in printed or digital text. Examples: headings, tables of contents, glossaries, electr onic menus, icons, bold words, captions, illustrations 21.Identify the main topic and key details of literary and informational texts. 22.Ask and answer questions about key details in literary and informational texts. 23.Identify and describe the main story elements in a literary text. a.Describe the characters and settings, using illustrations and textual evidence from a story . b.Retell the plot or sequence of major events in chronological order .",409
Page 50,"Grade 1 2021 Alabama Course of Study: English Language Arts 39 24.Identify who is telling the story , using evidence from the text. a.Use the term narrator to refer to the speaker who is telling the story . 25.Describe connections between two individuals, events, ideas, or pieces of information, including cause and effect, sequence, and problem and solution, in a literary text. 26.With prompting and support, use textual evidence to explain the central message or moral of a literary text. 27.Make predictions using information found within a literary text. 28.Self-monitor comprehension of text by pausing to summarize or rereading for clarification when comprehension is lacking. 29.Compare and contrast texts. a.Compare and contrast characters, settings, and major events in literary texts. b.Describe the connections between individuals, events, ideas, or pieces of information in an informational text. c.Point out similarities and differences between two texts on the same topic. Writing 30.Write legibly , using proper pencil grip. a.Print upper and lowercase letters fluently , using proper approach strokes, letter formation, and line placement. b.Print first and last names using proper letter formation, capitalization, and punctuation. Examples: De’Andr e McGill, Kim Mi-Sun, Juan de Jesus, Janie Parker c.Use lower case letters in the majority of written work, using capitals only when appropriate. d.Write letters of the English alphabet in alphabetical order from memory . 31.Apply knowledge of grade-appropriate phoneme-grapheme correspondences and spelling rules (or generalizations) to encode words accurately . a.Encode vowel-consonant (VC) and consonant-vowel-consonant (CVC) words, while using some knowledge of basic position-based rules for spelling English words in closed syllables. Examples: /k/=k befor e i, e, or y as in kit; /k/= c befor e a, o, u, or any consonant as in cup, cat, cop; /k/= -ck after an accented short vowel as in duck, back, rock, pick, deck b.Encode consonant-vowel (CV) words using knowledge of open syllable patterns. Examples: he, me, she, go, no",491
Page 51,"Grade 1 2021 Alabama Course of Study: English Language Arts 40 Standar d 31 continued... c.Encode words with two-consonant blends in beginning position, including blends that are commonly confused with other spellings, by distinguishing the placement and action of the lips, teeth, and tongue during articulation. Examples: cl, bl, sl, tr, cr, sk, st, sl, sm, sn, sp, sw, dr, br, bl Note: Many students spell the tr blend with digraph ch because of the confusion of the coarticulation of the /t/ and /r/ sounds. Many students spell the dr blend with the letter j because of the confusion of the coarticulation of the /d/ and /r/ sounds. d.Encode words with consonant digraphs using knowledge that one sound may be spelled with two letters. Examples: sh, th, ch, wh, ng, ck e.Encode words with vowel-consonant-e syllable patterns. Examples: hike, spike, joke, dime, make f.With prompting and support, encode words with the common vowel teams and diphthongs. Examples: ee, ea, oa, ai, a, au, aw, oi, oy, ou, ow, oo, igh g.With prompting and support, encode words with vowel-r combinations ar, or, er, ir, and ur. h.With prompting and support, encode words with final /ch/ sound spelled -ch and -tch . Examples: /ch/= ch after a consonant, vowel-r , or vowel team as in munch, bunch, porch, smooch /ch/= tch after a short vowel sound as in hatch, crutch, ditch i.With prompting and support, encode words with final /f/, /l/, and /s/ sounds in one-syllable base words by doubling the final consonant when it follows a short vowel sound. Examples: cliff, hill, pass j.Encode words with final /v/ sound, using knowledge that no English word ends with a v. Examples: have, give, save k.Encode grade-appropriate high frequency words that follow regular phoneme-grapheme correspondences. Examples: am, at, can, he, we, be, in, it, came, like l.Encode grade-appropriate high frequency words that follow regular phoneme-grapheme correspondences and patterns in all but one position , pointing out the part of the word that does not follow the regular pattern. Examples: said, are, to m.Encode words with suffixes -s, -es, -ing, -ed, -er, and -est. Examples: dogs, wishes, jumping, jumped, faster , fastest n.With prompting and support, encode words with common prefixes re-, un- , and mis- .",618
Page 52,"Grade 1 2021 Alabama Course of Study: English Language Arts 41 Standar d 31 continued... o.With prompting and support, encode frequently confused homophones, using knowledge of English and meaning to facilitate learning. Examples: hear/her e; for/four; to/too/two. Note: To is a preposition which begins a prepositional phrase or an infinitive. Too is an adverb meaning ""excessively"" or ""also."" Two is a number . Many other words in English which reflect the number two are spelled with tw: twin, twice, between, tweezers. 32.Follow the rules of standard English grammar , punctuation, capitalization, and spelling appropriate to grade level. a.Identify the required features of a sentence, including capitalization of the first word and end punctuation. b.Transcribe spoken words to demonstrate that print represents oral language. c.Compose a simple sentence, including a subject and a predicate, that expresses a complete thought. d.With prompting and support, identify the role or purpose of a noun, verb, and adjective within a sentence and describe the type of the information it conveys. e.Write the correct number of words, with proper spacing, for a spoken phrase or sentence. f.Begin each sentence with a capital letter . g.Capitalize the pronoun I and names of individuals. h.Use commas in dates and words in a series. i.With prompting and support, recognize, name, and correctly use end punctuation, utilizing appropriate academic vocabulary . Example: period for declarative sentences, question mark for interr ogative sentences, exclamation mark for exclamatory sentences 33.Actively participate in shared writing experiences to compose and develop a well-or ganized paragraph with a topic sentence, details to support, and a concluding sentence. 34.With prompting and support, write a narrative that recounts two or more appropriately sequenced events using transitions, incorporating relevant details, and providing a sense of closure. 35.With prompting and support, write an informative or explanatory text about a topic, using facts from a source and providing a sense of closure. 36.With prompting and support, write an opinion piece about a topic, including at least one supporting reason from a source and providing a sense of closure.",478
Page 53,"Grade 1 2021 Alabama Course of Study: English Language Arts 42 37.With prompting and support, write simple poems about a chosen subject. 38.Develop and edit first drafts using appropriate spacing between letters, words, and sentences and left-to-right and top-to-bottom progression. 39.Improve writing, as needed, by planning, revising, and editing with guidance from peer editors, responding to their questions and suggestions. 40.Describe ideas, thoughts, and feelings, using adjectives, drawings, or other visual displays to clarify . 41.Organize a list of words into alphabetical order according to the first and (when necessary) second letters of the words. 42.Participate in shared research and writing projects to answer a question or describe a topic. a.Recall information from experiences to contribute to shared research and writing projects. b.Gather information from provided sources. 43.Use a variety of digital tools to produce and publish writing with guidance and support from adults, working both individually and in collaboration with peers.",215
Page 54,"Grade 2 GRADE 2 In Grade 2, Literacy Foundations continue to be essential as a basis for increased proficiency and a bridge to higher levels of instruction. Specificity in the standards remains to develop the needed phonemic awareness and phonics skills to become successful readers and writers. The categories Reading, Listening, Writing, and Speaking have been added to the organization of the standards as students are becoming more proficient in mastering foundational skills. Not every content area will have a standard in every category . In such cases, the category remains blank with the row shaded to indicate that the omission was intentional. The writing process is integrated throughout the standards as a key to expressive learning. In accordance with the Simple View of Writing (Berninger et al.), foundational writing skills remain in the Literacy Foundations (standards 37-39); however , the written composition skills transition to the Written Expression category in standards 40-46 as students begin using the stages of the writing process more independently to produce narrative, informative, and opinion writings in response to texts. These tasks become more demanding as rigor increases from second to third grade. The K-3 Recurring Standards for English Language Arts, shown in the chart below , are an important part of every grade level. Through these standards, students learn and practice active listening, utilize word-analysis skills, build background knowledge and vocabulary skills, learn and practice essential digital skills, and utilize a process to create and modify written work. The recurring standards are to be incorporated throughout the grade level. RECURRING STANDARDS FOR K-3 2021 Alabama Course of Study: English Language Arts 43 Students will: R1. Utilize active listening skills during discussion and conversation in pairs, small groups, or whole-class settings, following agreed-upon rules for participation. R2. Use knowledge of phoneme-grapheme correspondences and word analysis skills to decode and encode words accurately . R3. Expand background knowledge and build vocabulary through discussion, reading, and writing.",408
Page 55,"Grade 2 GRADE 2 CONTENT STANDARDS Each content standard completes the stem “ Students will…” 2021 Alabama Course of Study: English Language Arts 44 R4. Use digital and electronic tools appropriately , safely , and ethically for research and writing, both individually and collaboratively . R5. Utilize a writing process to plan, draft, revise, edit, and publish writings in various genres. LITERACY FOUNDA TIONS Oral Language 1.Participate in conversations and discussions with groups and peers utilizing agreed-upon rules. 2.Present information orally using complete sentences, appropriate volume, and clear pronunciation. a.Use oral language for different purposes: to inform, to entertain, to persuade, to clarify , and to respond. b.Use complex sentence structures when speaking. c.Ask and answer questions to seek help, clarify meaning, or get information. 3.Demonstrate oral literacy skills by participating in a variety of oral language activities. Examples: creating oral stories, participating in oral dramatic activities, reciting poems and stories READING LISTENING WRITING",225
Page 56,"Grade 2 2021 Alabama Course of Study: English Language Arts 45 SPEAKING 4.Orally answer who, what, when, wher e, why, and how questions about a text or conversation, using complete sentences to provide key ideas and details. 5.Create recordings of stories or poems. 6.Use visual aids and technology in oral presentations to present key ideas and details about a text or conversation, and add drawings or other visual displays to stories or recounts of experiences when appropriate to clarify thoughts, feelings, and ideas. 7.Demonstrate standard English usage when speaking. a.Use collective nouns. b.Form and use frequently-occurring irregular plural nouns. c.Use reflexive pronouns. d.Form and use past tense forms of frequently-occurring irregular verbs. e.Use adjectives and adverbs. f.Produce and expand complete simple and compound sentences when speaking. Phonological Awareness/Phonemic Awareness 8.Apply knowledge of voiced and unvoiced sounds and manner of articulation to distinguish between commonly-confused vowel sounds and commonly-confused cognate consonant sounds. Examples: /f/ and /v/, /p/ and /b/, /k/ and /g/, /t/ and /d/, /ch/ and /sh/, /ĕ/ and /ĭ/, /ĕ/, and /ă/ Note: This is extremely important as a foundational phonemic awar eness skill for all learners. 9.Demonstrate advanced phonemic awareness skills in spoken words. a.Add, delete, and substitute phonemes at the beginning, end, or middle of a spoken word made up of up to six phonemes and produce the resulting word. Examples: Addition - Say bell . Now say bell , but add /t/ to the end of bell . (belt) Addition - Say block . Now say block , but add /t/ to the end of block. (blocked) Deletion - Say fin. Now say fin, but don’t say /f/. (in) Deletion - Say range . Now say range , but don't say /j/. (rain) Substitution - Say strap . Now say strap , but change /a/ to /i/. (strip) Substitution - Say bleed . Now say bleed , but change the /ē/ to /ā/. (blade)",498
Page 57,"Grade 2 2021 Alabama Course of Study: English Language Arts 46 Standar d 9 continued... b.Delete the initial sound in an initial blend in a one-syllable base word. Example: Say prank . Now say prank , but don’t say /p/. (rank) c.With prompting and support, delete the medial and final sounds in blends in one syllable base words. Examples: Say snail . Now say snail , but don’t say /n/. (sail) Say wind . Now say wind , but don’t say /d/. (win) d.Apply phoneme chaining that changes only one sound at a time to show addition, deletion, substitution, and resequencing of sounds from one word to the next. Examples: bit, bet, bat; sat, sit; pit, pat e. With prompting and support, reverse sounds within a word by saying the last sound first and the first sound last. Examples: fine, knife; cat, tack; park, carp READING LISTENING WRITING SPEAKING Phonics 10.Apply knowledge of phoneme-grapheme correspondences, multisyllabic word construction, and syllable division principles to decode and encode (spell) words accurately in isolation and in context. a.Decode multisyllabic words with common syllable patterns, including open/closed, vowel-r , vowel-consonant-e, vowel teams, consonant-le, and schwa syllables. b.Apply knowledge of multisyllabic word construction and syllable division principles to decode grade-appropriate multisyllabic words. Examples: VC/CV , V/CV , VC/V , CV/VC; rab-bit, o-pen, cab-in, li-on c.Decode and encode words with three-consonant blends and blends containing digraphs. d.Decode and encode words with consonant digraphs, trigraphs, and combinations. Examples: qu, sh, ch, th, ph, wh, tch, dge",440
Page 58,"Grade 2 2021 Alabama Course of Study: English Language Arts 47 Standar d 10 continued... e.Decode and encode words with variable vowel teams and vowel diphthongs. Examples: oi, oy; ou, ow; au, aw; oo, ew, ue; ee, ea; igh, ie; ai, ay f.Decode and encode words with vowel-r combinations. Examples: ar, air, are, ear, eer, er, ere, eir, ir, or, oar, ore, our, ur g.Decode and encode words that follow the -ild, -ost, -old, -olt, and -ind patterns. Examples: wild, most, cold, colt, mind h.Decode and encode words with a after w read /ä/ and a before l read /â/. Examples: wash, water , wasp; tall, all, talk, small, fall i.Decode and encode words with or after w read /er/. Examples: world, word, worm, worst, work j.Decode and encode words with the hard and soft sounds of c and g, in context and in isolation. Examples: c=/k/ befor e a, o, u, or any consonant and c= /s/ befor e i, e, or y g=/g/befor e a, o, u, or any consonant and g=/j/ befor e i, e, or y k.Decode and encode words with vowel y in the final position of one and two syllable words, distinguishing the difference between the long /ī/ sound in one-syllable words and the long /ē/ sound in two-syllable words, and words with vowel y in medial position, producing the short /ĭ/ sound for these words. Examples: fly, my; baby , happy; myth, gym l.Decode words with silent letter combinations. Examples: kn, mb, gh m.Decode and encode words with prefixes and suffixes, including words with dropped e and y-to-i changes for suffix addition. Examples: pro-, trans-, non-, mid-; -ful, -less, -ness, -ed, ing, -es, -er, -est, -en, -y, -ly n.Decode and encode grade-appropriate high frequency words that are spelled using predictable, decodable phoneme-grapheme correspondences, including those that contain only one irregularity . Examples: decodable - number , way, my, than, word decodable except for one irregularity - other (o is schwa), from- (o is schwa) what - (a is schwa or short o depending on dialect) o.Decode and encode contractions with am, is, has, not, have, would, and will. Examples: I’m, he’s, she’s, isn’t, don’t, I’ve, he’d, they’ll READING LISTENING",663
Page 59,"Grade 2 2021 Alabama Course of Study: English Language Arts 48 WRITING SPEAKING Fluency 11.Apply previously-taught phoneme-grapheme correspondences to multisyllabic words with accuracy and automaticity , in and out of context. 12.Read and reread grade-appropriate text accurately , automatically , and with meaningful expression at a rate which supports comprehension. 13.Read grade-appropriate poetry , noticing phrasing, rhythm, and rhyme. 14.Read high-frequency words commonly found in grade-appropriate text. Note: High-fr equency words should be taught with the main emphasis of the lesson being on regular correspondences and patterns within the word. The student should be able to read the word accurately three times in a row on differ ent days to be consider ed accurate enough to add to a personal word box, word ring, or fluency folder for fluency practice. Avoid teaching high-fr equency words as “sight words” that need to be memorized as a whole word, unless there are no regular correspondences in the word. “Of” is an example of a word with no regular correspondences. READING LISTENING WRITING SPEAKING",256
